,wallet,总利润,盈亏比,最大盈利涨幅,最大回撤涨幅,
123,2kt55CkvtBxKwi7b3kwNQapNHhHQxDDXjjhN5Kf6Ydw5,47437.18802,64.65059648,38.56986487,-0.285337973,
380,BJwcbwj2RywEEHLSCZszyeVYnJaxSqzh23jXDY29LUKX,284174.6289,58.90847539,135.4511837,-0.897635905,
155,F4TTCfndharRQVcwD1arPkZ9UuHnJUuYi6Yc8VR4tk83,9500.163253,57.2169351,2.697302044,-0.083260665,
195,HRqyuaFuAwMA3ETtq6AFLnMT4cQeYXFMLNpqw9pE1hu7,8975.177118,55.40852347,3.440563732,-0.223207302,
181,CuZLUMgy5SkMtWQAZSo4sAT8UdepabgN37uChuhjrVPq,5879.284366,49.49124036,207.0417328,-0.116174684,
61,8ReS6DCKtJNSqw3f6U1rQMwX5JTBKykcM7f4XZxVWsdc,1438.734679,49.09686845,2.88877438,-0.094813077,
280,FLT1V6Mc4Gkv8GmZQ9StQdFZminy1w3o3rz9MoREH5TX,11226.91605,44.1882314,8.964245374,-0.847904345,
350,4H2cM9du4GiVZBUNz41FBtm7hQEPz52qwYhRf5v785BR,7002.420704,43.6543423,27.13120414,-0.078667882,
113,9a7TAMdnCHU66wVW4h1uRUbJhStihxiegYJJetqmobE5,4901.100581,43.39236482,4.89602062,-0.93824019,
420,5uMYzEzykh7PpZpJpa6XgHzPJ3MPUEorYyqQFmyZ4oZj,15484.12346,43.23485536,7.785181727,-0.433782147,
322,7LZ2UdiwnBqXMmzFE3MzebNc87nk6HzuLLAt1DQaKget,8138.378755,43.08158676,3.799368162,-0.172468463,
22,CDcTs7R71us4z49kQBMtYLKijCy5DPWbpHLNrMZEwBb4,6839.471106,42.53617502,5.361777327,-0.397235796,
262,859GCGXswJH92j1ma1x3ULLzYBHeiptqwjy9K8oUoR52,12883.79731,39.81866882,63.62670895,-0.464755355,
95,644hYiMHn1Utwy1iaSq6Ufd7tcAP2e3q62upeGGvgGtQ,30330.10157,39.78037224,38.63092136,-0.569109737,
258,EqZ6RQ9V6fBBqrrJUuypeBKjUZED2iDHTXVNG1NnR1H2,707.7832824,39.41442853,0.750870411,-0.023432633,
13,9Bu68kFKHddLceh95c1oMH8cogo4MnxDP1GREkHDDF3p,1066.236673,39.38422886,2.079274997,-0.086151981,
32,Fjkjw8RdNtXFeuD3NnpyvJcwHMZuLqKzTJcHbUA3H3Uk,2344.562953,37.68056787,0.974018496,-0.124774706,
115,DZZ6dE3kCpSC4NZfLD1PHXwQ5pREiwCP4zatzDDvLBKH,12037.0726,37.60538336,0.854089244,-0.398776046,
185,3mQ5HEz2RsuZYAeo4UM78CBF3NfbH9AyboZid6aGLNUW,9927.239948,37.46325775,8.589963038,-0.398853245,
330,rpcV4bAw7BAR6xzwLrmAbSJ17q7A5i4fAZdMg94auLk,13681.48242,35.40557832,24.40935973,-0.507329606,
285,8T94Z78u8i2M35ZaztZKAgEG4USZkw6QvRZnDJK2arCr,7284.029313,33.63417875,30.37314293,-0.415045859,
311,GpT1WBQ7Qbwh5zXJJ9et9eTAy7yFYykUm4TLe2oKEcni,13062.84989,33.35508186,16.82780319,-0.465242647,
407,4njHFhGBYXwCFSX7qrJraDSKJUpwv8oR2efAJgGYTmqp,8572.882889,32.77245642,6.124509296,-0.60831335,
231,D3gfp5ihEc4iK6X4bgxsu9AcQECxec5SBhbtPj9e9eMs,861.0848332,32.70431529,1.139757157,-0.174047918,
274,Brv26qQhKxWCFhnfzmxiSWmc7SBCz7uC1dqUBmKVMAAp,19411.99974,32.62897031,6.085549635,-0.298672422,
263,ACrckiZQpvAFzBFwhwpL1ggnF6h3JifCviRD3UnULH5F,4515.12099,32.17344505,1.175320335,-0.269814645,
367,5rBwbHxSM5KshWeCVaksvfWN6YU1mPEym51BfnHb7jRN,21761.79907,31.91412463,2.356433226,-0.173406886,
473,4yLx5iHk5Fn3YrrsKBZKYU5vDZxrA4eXhd3CKm1AjhoW,5724.204812,31.55150236,13.36380975,-0.40113461,
431,989wRCG4n7tTsLzupg1xgVBSGJ1tGycdhNfP7tdFFi1a,5501.921445,31.52532789,11.08088963,-0.422413348,
83,83tzRUb2wpdRBqPG8PB1bdE1o3JWCMrw2ahUjwdNdtqS,15518.12545,30.82218688,15.0661877,-0.902111629,
447,BTcddxAzC6LrfwFiG3MGHexNQ5m6bC1mp849utCZWTrx,28202.53476,30.5976933,33.73546472,-0.543728989,
338,5uKoo2pj6cThb6DP2WvKD1aW9hF3Sygjx5KRXvQMRVH2,2189.006357,30.32187932,1.902212453,-0.106747768,
234,8vC9dpKgvtZYDqF8cg7eJ7hSBvyp9xkjhNSdv1outcMv,6231.718667,30.22521926,13.15171124,-0.562519288,
369,EzpXPSBCTHngFEVGpwgAwbsWdDeNBfhFxbzCXs68qNre,4931.520204,30.1093156,18.53102665,-0.224262447,
78,BRqyJiEdP6Hxmk8GiqhUUe2CzNytmJ1GarK1x9EoXAw7,1734.606949,29.94481368,2.346873428,-0.27138697,
246,BhUrJ1vvsidx2ScQYHWNpS7zCJ8ixRYGDokKebc6g3Me,4839.031784,28.97889137,5.654640897,-0.580882939,
405,6MnEg4HEy8V23vXAsUC6ZVrRqecVMnsS97xJMec7WgT8,17522.09743,27.2264531,147.527491,-0.827857888,
